Brand,Model_Year,Capacity,Star_Rating,Inverter_Type,Rating,Annual_Power,Room_size,Warranty,Original_Price,Dicount_Pct,Price_After_Discount
Hitachi 1,,['1.5 Ton'],5 Star,Star Window Inverter,4.1,657.31 Units,90,(1 Year Standard,"₹62,500",31,"₹34,290"
Blue Star,,['2 Ton'],5 Star,Star Split Inverter,4.1,511.13 Units,90,1 Year Warranty on Product,"₹45,233",38,"₹51,900"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,1045.04 Units,90,,"₹48,900",33,"₹27,990"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,969.15 Units,90,(1 Year Standard,"₹59,590",51,"₹36,970"
Lloyd 1,,['1 Ton'],3 Star,Star Split Inverter,4,524.03 Units,111 - 150,(1 Year Standard,"₹57,400",42,"₹29,547"
Lloyd 1,,['1 Ton'],3 Star,Star Split Inverter,4,1233.96 Units,111 - 150,,"₹54,700",45,"₹27,240"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,952.68 Units,90,,"₹70,500",46,"₹25,990"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,536.2 Units,151 - 200,,"₹60,990",48,"₹32,800"
Haier 2024,2024,['1.5 Ton'],3 Star,Star Split with,4,1202.77 Units,111 - 150,1 Year Warranty on Product,"₹66,100",46,"₹33,650"
ONIDA 2023,2023,['1.5 Ton'],3 Star,Star Split Inverter,4.1,863.15 Units,90,(1 Year Standard,"₹63,500",34,"₹29,431"
Godrej 5,2023,['1 Ton'],5 Star,Star Split Inverter,4,1249.82 Units,151 - 200,,"₹54,990",38,"₹29,990"
IFB 7,,['2 Ton'],3 Star,Star Split Inverter,4.2,789.6 Units,111 - 150,,"₹74,100",18,"₹48,650"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,863.15 Units,151 - 200,1 Year Warranty on Product,"₹50,000",51,"₹27,990"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,996.24 Units,111 - 150,,"₹74,990",43,"₹30,990"
Daikin 1,,['1.8 Ton'],3 Star,Star Split Inverter,4.1,618.45 Units,111 - 150,,"₹48,500",10,"₹63,050"
Samsung 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.3,706.85 Units,151 - 200,1 Year Warranty on Product,"₹61,300",25,"₹45,309"
Midea 2025,2025,['2 Ton'],3 Star,Star Split Inverter,4.2,685.62 Units,90,1 year Warranty on Product,"₹63,500",40,"₹39,490"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,536.2 Units,111 - 150,5 Years Warranty on Whole Product,"₹60,500",46,"₹33,990"
Samsung 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.3,1730 Units,90,5 years comprehensive warranty on product,"₹42,500",17,"₹45,309"
TOSHIBA 1,,['1.8 Ton'],5 Star,Star Split Inverter,4,544.39 Units,90,1 Year Warranty on the Product,"₹47,900",29,"₹52,416"
TOSHIBA 1,,['1 Ton'],5 Star,Star Split Inverter,4,589.45 Units,111 - 150,1 Year Comprehensive Warranty on AC,"₹55,999",22,"₹39,000"
IFB AI,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.1,1011.43 kWh,111 - 150,(1 Year Standard,"₹58,400",50,"₹37,450"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,774.88 Units,90,(1 Year Standard,"₹54,200",45,"₹26,490"
CARRIER 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.1,523.54 W,90,1 Year Comprehensive Warranty on AC,"₹42,300",47,"₹31,990"
Voltas 1,,['1.5 Ton'],,,3.6,951.91 Units,111 - 150,,"₹89,490",48,"₹32,850"
Hitachi 1,,['1.5 Ton'],3 Star,Star Split Inverter,4,2000 Units,111 - 150,,"₹45,650",37,"₹38,058"
Blue Star,2024,['0.8 Ton'],3 Star,Star Split Inverter,4.2,1184.66 Units,111 - 150,,"₹55,500",40,"₹25,490"
Panasonic 2025,2025,['1 Ton'],4 Star,Star Split Inverter,4.2,523.54 Units,90,5 Years Warranty on Whole Product,"₹57,400",29,"₹33,560"
DECKER 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.2,952.68 Units,111 - 150,5 Years Warranty on Whole Product,"₹48,500",30,"₹38,999"
Blue Star,,['1.5 Ton'],5 Star,Star Split Inverter,4.8,685.62 Units,151 - 200,1 Year on Product,"₹75,000",37,"₹60,000"
Daikin 1,,['1.5 Ton'],,,4.2,1490 Units,111 - 150,,"₹60,700",34,"₹36,469"
Daikin 1,,['1 Ton'],5 Star,Star Split Inverter,4,1350 Units,90,1 Year on Product,"₹48,900",33,"₹35,599"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,980.37 Units,111 - 150,(1 Year Standard,"₹67,400",48,"₹27,990"
Samsung 2025,2025,['2 Ton'],3 Star,Star Split Inverter,4.2,1195.22 Units,90,,"₹40,450",34,"₹45,880"
Panasonic 2024,2024,['1.5 Ton'],3 Star,Star Window AC,4.2,905.88 Units,111 - 150,,"₹42,300",32,"₹30,940"
Daikin 1,,['1 Ton'],5 Star,Star Split Inverter,4.2,951.91 Units,151 - 200,1 Year Warranty on Product,"₹57,900",35,"₹35,880"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,1012.3 Units,111 - 150,1 Year Warranty on Product,"₹96,840",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,1206.45 kWh,151 - 200,(1 Year Standard,"₹48,849",45,"₹26,490"
Voltas 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,657.31 Units,111 - 150,1 Year on Product,"₹54,700",49,"₹37,970"
Haier Heavy,2023,['1.6 Ton'],3 Star,Star Split Powerful,4.1,536.2 Units,111 - 150,1 Year Comprehensive Warranty on AC,"₹62,000",43,"₹34,200"
Godrej 5,,['1.5 Ton'],3 Star,Star Split Inverter,4,851.2 Units,111 - 150,1 Year Standard Warranty on Product,"₹71,280",38,"₹30,242"
Panasonic 2024,2024,['2 Ton'],3 Star,Star Split Inverter,4.2,704.35 Units,151 - 200,,"₹74,000",7,"₹62,241"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,773.75 kWh,90,,"₹75,990",34,"₹26,690"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,685.26 Units,90,1 Year Warranty on Product,"₹63,500",33,"₹27,990"
Hitachi 1,,['1.5 Ton'],3 Star,Star Split Inverter,4,789.6 Units,111 - 150,1 Year warranty on Product,"₹57,146",32,"₹38,879"
General 2,,['2 Ton'],4 Star,Star Split Inverter,4,946.17 Units,111 - 150,1 Year Warranty on Product,"₹55,600",13,"₹83,990"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.2,989.31 Units,111 - 150,,"₹62,990",46,"₹25,990"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,1.3,518.39 Units,111 - 150,(1 Year Standard,"₹75,990",43,"₹30,990"
TOSHIBA 1,,['1.5 Ton'],5 Star,Star Split Inverter,1.3,751.28 Units,111 - 150,(1 Year Standard,"₹61,300",19,"₹50,000"
TOSHIBA 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,536.2 Units,111 - 150,1 Year Warranty on Product,"₹81,850",20,"₹56,990"
Blue Star,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,1397.61 Units,111 - 150,1 Year Warranty on Product,"₹47,590",46,"₹39,499"
LG AI,2023,['1.5 Ton'],5 Star,Star Split Inverter,4.3,1210.35 kWh,90,5 Years Warranty on Whole Product,"₹63,100",42,"₹43,450"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.2,1024.34 Units,111 - 150,(1 Year Standard,"₹64,600",46,"₹33,990"
IFB 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.2,989.55 Units,90,1 Year Warranty on Product,"₹57,400",47,"₹29,990"
Daikin 1,,['1.5 Ton'],3 Star,Star Split AC,2.3,952.68 Units,151 - 200,1 Year Comprehensive Warranty on Product,"₹48,500",31,"₹37,900"
Electrolux Convertible,,['1 Ton'],5 Star,Star Split Inverter,4.2,685.62 Units,111 - 150,1 Year Warranty on Product,"₹75,400",43,"₹35,760"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.1,774.88 Units,111 - 150,,"₹40,450",51,"₹36,970"
CARRIER 2025,2025,['1 Ton'],5 Star,Star Split Inverter,3.8,521.2 Units,111 - 150,(1 Year Standard,"₹54,700",47,"₹31,990"
Hitachi Ice,2023,['2 Ton'],3 Star,Star Split Inverter,4,905.88 Units,111 - 150,5 Years Warranty on Whole Product,"₹49,999",36,"₹51,999"
CARRIER 2025,2025,['1.5 Ton'],3 Star,Star Window Inverter,4.3,536.2 Units,90,1 Year Warranty on Product,"₹54,990",7,"₹43,969"
Hitachi Ice,2023,['1.5 Ton'],3 Star,Star Split Inverter,4,5050 W,111 - 150,,"₹70,990",41,"₹37,090"
Whirlpool 4,,['1.5 Ton'],3 Star,Star Split Inverter,4.1,854.42 Units,90,1 Year on Product,"₹70,000",53,"₹30,340"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,1037.79 kWh,111 - 150,1 Year Comprehensive Warranty on Product,"₹63,500",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,857.36 Units,90,1 Year warranty on Product,"₹42,300",45,"₹26,490"
Blue Star,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,789.6 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹74,250",47,"₹39,840"
LG AI,2023,['1 Ton'],5 Star,Star Split Inverter,4.2,951.91 Units,91 - 110,1 Year Warranty on Product,"₹45,900",34,"₹75,999"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,774.88 Units,111 - 150,(1 Year Standard,"₹75,990",43,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,751.28 Units,111 - 150,(1 Year Standard,"₹48,849",33,"₹30,990"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Window Inverter,4.3,657.31 Units,111 - 150,1 Year Warranty on Product,"₹69,323",43,"₹33,499"
Lloyd 2023,2023,['1.2 Ton'],3 Star,Star Split Inverter,4.2,794.34 Units,111 - 150,1 Year Warranty on Product,"₹78,500",48,"₹31,188"
Voltas 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,1257.12 Units,111 - 150,5 Years Warranty on Whole Product,"₹61,500",43,"₹36,410"
Blue Star,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,774.88 Units,111 - 150,(1 Year Standard,"₹74,500",46,"₹39,850"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,782.29 W,111 - 150,1 Year Warranty on Product,"₹57,400",33,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,952.68 Units,90,1 Year on Product,"₹48,500",46,"₹27,990"
Blue Star,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,685.62 Units,111 - 150,1 Year Warranty on Product,"₹50,400",34,"₹39,880"
Godrej 1,,['1.5 Ton'],,,4.2,705.78 Units,151 - 200,1 Year Warranty on Product,"₹76,090",51,"₹29,900"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4,754.05 Units,111 - 150,(1 Year Standard,"₹40,450",46,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.1,905.88 Units,111 - 150,5 Years Warranty on Whole Product,"₹54,700",42,"₹25,990"
Lloyd 2023,2023,['1.5 Ton'],5 Star,Star Split Inverter,4.2,536.2 Units,111 - 150,1 Year Warranty on Product,"₹68,900",38,"₹39,990"
CARRIER Flexicool,,['2 Ton'],3 Star,Star Split Inverter,4.2,759.55 kWh,90,,"₹37,490",35,"₹48,650"
Blue Star,2023,['1.5 Ton'],5 Star,Star Split Inverter,4.2,574.39 Units,90,,"₹60,500",46,"₹39,850"
Blue Star,,['1.5 Ton'],5 Star,Star Split Inverter,3.8,517.12 Units,111 - 150,1 Year on Product,"₹74,990",34,"₹39,500"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,892.9 Units,111 - 150,1 Year Standard Warranty on Product,"₹63,500",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,789.6 Units,90,1 Year Warranty on Product,"₹42,300",45,"₹26,490"
Blue Star,,['1 Ton'],3 Star,Star Split Inverter,4.1,951.91 Units,111 - 150,1 Year Warranty on Product,"₹63,490",32,"₹34,050"
CARRIER 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,1012.53 Units,90,1 Year Warranty on Product,"₹72,200",47,"₹39,850"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,1261.37 kWh,90,,"₹75,990",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,751.28 Units,111 - 150,1 Year Warranty on Product,"₹48,849",43,"₹30,990"
Panasonic 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.3,657.31 Units,111 - 150,1 Year on Product,"₹62,990",41,"₹40,570"
Daikin 2024,2024,['0.9 Ton'],3 Star,Star Split AC,4,518.39 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹49,100",32,"₹25,490"
Blue Star,,['1 Ton'],5 Star,Star Split Inverter,4.1,667.91 kWh,111 - 150,(1 Year Standard,"₹69,500",36,"₹38,250"
Voltas 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,964.1 Units,151 - 200,(1 Year Standard,"₹73,050",49,"₹37,850"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,1310.56 W,111 - 150,1 Year Warranty on the Product,"₹63,990",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,511.13 Units,90,1 Year Comprehensive Warranty on Product,"₹42,500",33,"₹27,990"
Lloyd 2025,2025,['1.5 Ton'],3 Star,Star Split AC,4.1,544.39 Units,90,1 Year Warranty on Product,"₹61,500",45,"₹34,677"
Blue Star,,['2 Ton'],3 Star,Star Split Inverter,4,998.07 Units,90,1 Year Comprehensive Warranty on Product,"₹65,900",39,"₹43,980"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,780.56 Units,111 - 150,5 Years Warranty on Whole Product,"₹57,400",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,952.68 Units,151 - 200,(1 Year Standard,"₹48,500",46,"₹25,990"
Electrolux Convertible,,['1 Ton'],5 Star,Star Split Inverter,2.3,685.62 Units,90,1 Year Comprehensive Warranty on Product,"₹51,150",43,"₹35,760"
Panasonic 1,,['1 Ton'],3 Star,Star Split Inverter,4.2,523.54 kWh,90,1 Year Comprehensive Warranty on Product,"₹67,200",36,"₹31,070"
CARRIER 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,785.99 Units,111 - 150,(1 Year Standard,"₹72,900",51,"₹33,950"
Hitachi 2,,['2 Ton'],2 Star,Star Split AC,3.8,1161.78 Units,111 - 150,5 Years Warranty on Whole Product,"₹66,000",40,"₹43,579"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,999.69 Units,111 - 150,1 Year on Product,"₹40,450",48,"₹32,800"
Blue Star,2024,['0.8 Ton'],3 Star,Star Split Inverter,4.2,905.88 Units,90,1 Year Comprehensive Warranty on Product,"₹54,700",40,"₹25,490"
Blue Star,,['1.5 Ton'],3 Star,Star Split Inverter,4.1,536.2 Units,90,1 Year Warranty on Product,"₹68,000",44,"₹34,150"
Lloyd 1,,['1.5 Ton'],5 Star,Star Split AC,4.1,1037.23 Units,111 - 150,,"₹77,900",42,"₹37,650"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,1432.1 kWh,151 - 200,,"₹63,500",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,789.6 Units,111 - 150,1 Year on Product,"₹42,300",45,"₹26,490"
Daikin 1,,['1 Ton'],5 Star,Star Split Inverter,4.2,951.91 Units,111 - 150,,"₹64,600",25,"₹37,990"
Daikin 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,1255 Units,90,1 Year Warranty on Product,"₹56,400",34,"₹43,999"
Daikin 2023,2023,['1.8 Ton'],3 Star,Star Split Inverter,4.1,1040.2 Units,111 - 150,,"₹63,350",24,"₹55,000"
Lloyd 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.1,533.61 Units,151 - 200,1 Year Warranty on Product,"₹60,500",44,"₹36,490"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,0 Units,111 - 150,,"₹75,990",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,751.28 Units,111 - 150,1 Year Warranty on Product,"₹48,849",43,"₹30,990"
Voltas 2023,2023,['1.5 Ton'],3 Star,Star Split Inverter,4.2,657.31 Units,151 - 200,1 Year Warranty on Product,"₹39,500",51,"₹32,999"
General 2,,['2 Ton'],3 Star,Star Split Inverter,4.3,1180.51 kWh,111 - 150,1 Year Comprehensive Warranty on Product,"₹60,500",6,"₹72,990"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4,1087.62 Units,90,(1 Year Standard,"₹63,990",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.1,511.13 Units,90,(1 Year Standard,"₹42,500",33,"₹27,990"
Daikin 1,,['1.8 Ton'],3 Star,Star Split Inverter,4,544.39 Units,111 - 150,,"₹65,400",24,"₹48,490"
Hitachi 1,,['1.5 Ton'],3 Star,Star Split Hot,4.2,774.8 Units,90,1 Year Warranty on Product,"₹66,900",35,"₹36,399"
Hitachi Ice,2023,['1 Ton'],5 Star,Star Split Inverter,4.1,770.98 Units,111 - 150,5 Years Warranty on Whole Product,"₹74,500",39,"₹38,499"
CARRIER 1,,['1 Ton'],5 Star,Star Split Inverter,4.2,1114.71 Units,111 - 150,(1 Year Standard,"₹50,990",37,"₹37,850"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4,952.68 Units,90,1 Year Warranty on Product,"₹57,400",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.2,685.62 Units,90,1 Year Warranty on Product,"₹48,500",46,"₹25,990"
Blue Star,,['1.5 Ton'],3 Star,Star Window AC,4.1,1590 W,111 - 150,1 Year Warranty on Product,"₹45,090",25,"₹29,499"
Blue Star,,['1.5 Ton'],3 Star,Star Split AC,4.2,548.84 Units,111 - 150,1 Year on Product,"₹37,400",39,"₹36,490"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,905.88 Units,111 - 150,(1 Year Standard,"₹40,450",48,"₹32,800"
Blue Star,2024,['0.8 Ton'],3 Star,Star Split Inverter,4.1,536.2 Units,111 - 150,5 Years Warranty on Whole Product,"₹54,700",40,"₹25,490"
5 Ton,,['1.5 Ton'],5 Star,Star Split Inverter,4.3,531.63 W,111 - 150,,"₹64,900",41,"₹38,250"
Panasonic 1,,['1.5 Ton'],5 Star,Star Split Inverter,3.8,1096.51 Units,90,1 Year Comprehensive Warranty on Product,"₹95,700",39,"₹40,170"
Blue Star,2023,['1.5 Ton'],5 Star,Star Split Inverter,4.2,1096.51 Units,111 - 150,,"₹96,450",46,"₹39,850"
Lloyd 1,,['1.5 Ton'],4 Star,Star Window AC,4.2,2250 Units,90,1 Year on Product,"₹59,990",42,"₹29,410"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,789.6 Units,111 - 150,1 Year Comprehensive Warranty on AC,"₹63,500",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,951.91 Units,90,1 Year Comprehensive Warranty on Product,"₹42,300",45,"₹26,490"
Acerpure 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,1088.62 Units,90,1 Year Warranty on Product,"₹62,000",41,"₹26,499"
Daikin 2023,2023,['0.8 Ton'],3 Star,Star Split AC,3.8,794.34 Units,151 - 200,1 Year Warranty on Product,"₹70,500",31,"₹25,490"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,4.2,751.28 Units,151 - 200,,"₹75,990",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4,657.31 Units,111 - 150,1 Year Warranty on Product,"₹48,849",43,"₹30,990"
IFB 2025,2025,['1 Ton'],5 Star,Star Split Inverter,3.1,966.47 Units,111 - 150,1 Year Comprehensive Warranty on AC,"₹85,400",44,"₹36,150"
Hitachi Ice,2023,['1.8 Ton'],4 Star,Star Split Inverter,3.1,1222.32 Units,111 - 150,1 year warranty on whole product,"₹52,999",39,"₹57,999"
Hitachi Ice,2023,['1.8 Ton'],4 Star,Star Split Inverter,4.1,744.54 Units,111 - 150,(1 Year Standard,"₹85,990",39,"₹57,999"
LG 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.3,669.81 kWh,111 - 150,(1 Year Standard,"₹56,990",42,"₹34,350"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4,511.13 Units,111 - 150,1 Year Warranty on Product,"₹63,990",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.1,544.39 Units,90,5 Years Warranty on the Product,"₹42,500",33,"₹27,990"
Whirlpool 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.1,1685 Units,111 - 150,1 Year on Product,"₹61,990",50,"₹30,537"
Lloyd 1,,['1.5 Ton'],5 Star,Star Split AC,4.2,1276.27 Units,111 - 150,1 Year Warranty on Product,"₹1,09,000",45,"₹38,750"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4,952.68 Units,111 - 150,5 Years Warranty on Whole Product,"₹57,400",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.2,685.62 Units,90,(1 Year Standard,"₹48,500",46,"₹25,990"
Daikin 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.1,920.55 Units,90,1 Year Warranty on Product,"₹91,600",60,"₹33,610"
Lloyd 1,,['1.5 Ton'],3 Star,Star Window Inverter,4.2,905.41 Units,90,(1 Year Standard,"₹55,900",10,"₹47,555"
LG AI,2024,['1.5 Ton'],5 Star,Star Split Dual,4.1,1039.98 Units,111 - 150,5 Years Warranty on Whole Product,"₹55,600",51,"₹41,936"
Voltas 1,,['1 Ton'],3 Star,Star Split Inverter,4.2,1372.85 Units,151 - 200,1 Year on Product,"₹86,700",49,"₹28,499"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,905.88 Units,111 - 150,1 Year Warranty on Product,"₹40,450",48,"₹32,800"
Blue Star,2024,['0.8 Ton'],3 Star,Star Split Inverter,3.8,536.2 Units,90,1 Year Warranty on Product,"₹54,700",40,"₹25,490"
Voltas 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,1002.84 Units,151 - 200,5 Years Comprehensive Warranty on Product,"₹49,990",46,"₹32,950"
Godrej 5,2025,['2 Ton'],3 Star,Star Cassette Inverter,4.3,789.6 Units,111 - 150,,"₹62,500",39,"₹65,850"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,951.91 Units,111 - 150,1 Year on Product,"₹63,500",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.2,604.19 Units,111 - 150,,"₹42,300",45,"₹26,490"
CARRIER 2024,2024,['2 Ton'],5 Star,Star Split Inverter,4,990.77 kWh,90,,"₹51,990",45,"₹49,999"
Godrej 2024,2024,['1.5 Ton'],3 Star,Star Hot and,4.2,1372.85 Units,90,,"₹55,990",39,"₹33,699"
Voltas 1,,['1.5 Ton'],3 Star,Star Split Inverter,3.9,685.62 W,111 - 150,1 Year Warranty on Product,"₹90,500",40,"₹32,850"
Daikin 2,,['2.02 Ton'],3 Star,Star Split Inverter,3.8,751.28 Units,111 - 150,1 Year Warranty on Product,"₹50,400",29,"₹60,999"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,4.2,657.31 Units,111 - 150,1 Year Warranty on Product,"₹75,990",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,3.2,517.83 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹48,849",43,"₹30,990"
Equator 0,,['0.75 Ton'],,,4.1,611.29 Units,111 - 150,1 Year Warranty on Product,"₹63,000",10,"₹44,990"
Blue Star,2023,['1.5 Ton'],3 Star,Star Split Inverter,4.3,511.13 Units,90,(1 Year Standard,"₹55,400",45,"₹33,940"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4,544.39 Units,111 - 150,,"₹63,990",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.2,1003.57 Units,90,1 Year Warranty on Product,"₹42,500",33,"₹27,990"
Voltas 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.1,774.11 Units,90,,"₹56,400",36,"₹32,850"
Lloyd 1,,['1.5 Ton'],3 Star,Star Split Inverter,3.9,767.34 Units,90,(1 Year Standard,"₹42,500",44,"₹31,320"
Daikin 2,,['2.02 Ton'],3 Star,Star Split Inverter,4.2,999.69 Units,90,5 Years Warranty on Whole Product,"₹56,500",22,"₹70,450"
CARRIER 1,,['1 Ton'],3 Star,Star Split Inverter,4.2,952.68 Units,90,1 Year Warranty on Product,"₹58,690",37,"₹31,250"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4,536.2 Units,111 - 150,1 Year Warranty on Product,"₹57,400",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.1,893.02 Units,90,1 Year Warranty on Product,"₹61,300",46,"₹25,990"
Blue Star,,['1 Ton'],5 Star,Star Split Inverter,4,1249.82 Units,111 - 150,,"₹75,400",36,"₹39,990"
Godrej 1,,['1 Ton'],5 Star,Star Split Inverter,4.2,685.62 Units,90,(1 Year Standard,"₹82,500",34,"₹36,455"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,905.88 Units,111 - 150,(1 Year Standard,"₹48,500",48,"₹32,800"
Blue Star,2024,['0.8 Ton'],3 Star,Star Split Inverter,3.8,583.06 Units,90,1 Year Warranty on Product,"₹40,450",40,"₹25,490"
Panasonic 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,1000.53 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹59,500",35,"₹36,470"
Haier 2024,2024,['1 Ton'],3 Star,Star Window with,4.1,893.02 Units,151 - 200,5 Years Warranty on Whole Product,"₹60,500",45,"₹23,190"
Hisense 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,754.05 Units,90,,"₹75,400",27,"₹40,990"
CARRIER 2024,2024,['1 Ton'],3 Star,Star Split Inverter,4.2,536.2 Units,111 - 150,1 Year Warranty on Product,"₹78,990",43,"₹33,250"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,789.6 Units,90,1 Year Warranty on Product,"₹54,700",51,"₹27,990"
CARRIER 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.1,966.47 kWh,111 - 150,,"₹63,500",47,"₹31,990"
Voltas 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,1222.32 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹58,400",49,"₹37,850"
CARRIER 2024,2024,['2 Ton'],3 Star,Star Split Inverter,4.2,951.91 Units,111 - 150,(1 Year Standard,"₹52,999",42,"₹47,850"
