Brand,Model_Year,Capacity,Star_Rating,Inverter_Type,Rating,Annual_Power,Room_size,Warranty,Original_Price,Dicount_Pct,Price_After_Discount
CARRIER 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.2,754.05 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹70,100",43,"₹39,490"
LG 2025,2025,['1.5 Ton'],4 Star,Star Split AI,4.1,838.67 Units,111 - 150,1 Year Warranty on Product,"₹75,990",50,"₹37,990"
Voltas 2023,2023,['1.5 Ton'],3 Star,Star Split Inverter,4.2,1045.71 Units,111 - 150,,"₹75,990",51,"₹69,990"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,751.28 Units,111 - 150,1 Year on Product,"₹48,849",46,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,657.31 Units,90,1 Year on Product,"₹54,990",52,"₹25,990"
Voltas 2,,['1.2 Ton'],3 Star,Star Split Inverter,4.2,1700 Units,91 - 110,1 Year on Product,"₹41,900",39,"₹26,366"
Godrej 1,,['1 Ton'],3 Star,Star Split Inverter,4,655.84 kWh,90,,"₹63,990",48,"₹25,370"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,511.13 Units,90,5 years comprehensive warranty on product,"₹72,790",53,"₹32,800"
Samsung 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.1,852.47 Units,111 - 150,1 Year Warranty on Product,"₹55,400",40,"₹33,991"
Panasonic 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,905.23 kWh,111 - 150,,"₹49,990",40,"₹32,890"
Sharp 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,657.31 kWh,90,,"₹64,990",34,"₹29,990"
Sharp 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,3.6,782.92 kWh,111 - 150,1 Year Warranty on Product,"₹46,990",42,"₹37,590"
Voltas 1,,['1 Ton'],5 Star,Star Window Inverter,4.3,771.14 kWh,90,(1 Year Standard,"₹57,400",29,"₹32,970"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,952.68 Units,111 - 150,(1 Year Standard,"₹48,500",51,"₹27,990"
