,Brand,Model_Year,Capacity,Star_Rating,Inverter_Type,Rating,Annual_Power,Room_size,Warranty,Original_Price,Dicount_Pct,Price_After_Discount
272,Voltas,2024,2.0,3,Star Split Inverter,4.1,544.39,151 - 200,1,61300,44,40490
273,Voltas,2025,1.0,3,Star Split Inverter,4.1,517.83,90,1,63990,53,26590
274,Blue Star,2025,1.5,3,Star Split Inverter,4.1,785.67,111 - 150,1,72790,42,33899
275,Voltas,2025,1.5,3,Star Split Inverter,4.2,511.13,111 - 150,1,73590,49,32970
276,Voltas,2024,1.0,3,Star Split Inverter,4.1,852.47,90,1,56900,52,26999
277,CARRIER,2025,1.0,5,Star Split Inverter,4.1,1207.93,90,1,58500,47,31990
278,Voltas,2023,2.0,3,Star Split Inverter,4.1,682.59,151 - 200,1,64990,50,39579
279,MITASHI,2025,1.0,3,Star Split Inverter,4.1,1012.16,90,1,56390,27,29500
280,Samsung,2025,1.5,3,Star Split Inverter,4.1,975.26,111 - 150,5,61300,40,37491
281,Haier,2025,1.0,3,Star Split Dual,4.1,672.93,90,5,79990,46,28990
282,Daikin,2025,1.8,1,Star Split AC,4.4,536.2,151 - 200,1,40500,33,40710
283,CARRIER,2025,1.5,3,Star Window Inverter,4.3,1220.59,111 - 150,1,63490,42,27499
284,Samsung,2025,1.5,5,Star Split Inverter,4.3,765.59,111 - 150,1,54500,50,42898
285,Blue Star,2025,1.5,3,Star Split Inverter,4.1,1047.62,111 - 150,1,61600,46,32990
